date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,gross_exposure,stop_active,in_regime,n_long,n_short,daily_return
2017-09-19,93.48964900990707,2.0193547635975087,105543.88484443218,1.4942185314160426,0.0,1.4942185314160426,False,True,6,0,0.0008865746670427832
2017-09-20,-113.32387737511809,6.989679407682788,105430.56096705706,1.5000000000000002,0.0,1.5000000000000002,False,True,6,0,-0.0010737133424845169
2017-09-21,-402.0323056293007,2.336460611698453,105028.52866142776,1.4942368294146546,0.0,1.4942368294146546,False,True,6,0,-0.0038132425924862767
2017-09-22,359.4888587311576,1.216514927294784,105388.01752015892,1.4999999999999998,0.0,1.4999999999999998,False,True,6,0,0.0034227734436804713
2017-09-25,431.9933208666292,1.4249798930193696,105820.01084102555,1.4968162914133214,0.0,1.4968162914133214,False,True,6,0,0.00409907436378143
2017-09-26,-434.3772939391818,1.8369397765627915,105385.63354708637,1.4956887036412894,0.0,1.4956887036412894,False,True,6,0,-0.004104869112059983
2017-09-27,-537.538243977675,4.021498478512861,104848.0953031087,1.5000000000000004,0.0,1.5000000000000004,False,True,6,0,-0.005100678582887652
2017-09-28,88.9278426772295,1.8572523535304535,104937.02314578593,1.5,0.0,1.5,False,True,6,0,0.0008481588761355408
2017-09-29,78.75708706476718,8.787156919224962,105015.7802328507,1.4999999999999998,0.0,1.4999999999999998,False,True,6,0,0.0007505176409983161
2017-10-02,-275.3391808226405,133.00815978526595,104740.44105202805,1.3709737608040165,0.0,1.3709737608040165,False,True,4,0,-0.0026218838750913243
2017-10-03,214.801182805924,4.9891797544257335,104955.24223483398,1.3233400129954938,0.0,1.3233400129954938,False,True,4,0,0.002050795095461133
2017-10-04,154.17263949615963,2.106847155473466,105109.41487433013,1.32638997490835,0.0,1.32638997490835,False,True,4,0,0.0014689370079410402
2017-10-05,600.269520307721,2.4579454954540654,105709.68439463785,1.313776855220798,0.0,1.313776855220798,False,True,4,0,0.005710901549831782
2017-10-06,-533.387235873437,1.559909677572413,105176.29715876441,1.301519179835131,0.0,1.301519179835131,False,True,4,0,-0.005045774556304394
2017-10-09,-2.7938299322640154,5.453870767973712,105173.50332883214,1.249664618348325,0.0,1.249664618348325,False,True,4,0,-2.6563303783699865e-05
2017-10-10,823.399768891912,6.1056788382809435,105996.90309772406,1.2820570650585168,0.0,1.2820570650585168,False,True,4,0,0.007828965878577732
2017-10-11,310.23578442113427,2.4660394382190423,106307.1388821452,1.2749349737638245,0.0,1.2749349737638245,False,True,4,0,0.002926838193896275
2017-10-12,63.61622475226096,1.1718051731473602,106370.75510689746,1.2837246648189884,0.0,1.2837246648189884,False,True,4,0,0.0005984191223769031
2017-10-13,551.6421264844611,0.7601646913835667,106922.39723338191,1.287017099495147,0.0,1.287017099495147,False,True,4,0,0.005186031874363284
2017-10-16,-78.31453990718919,0.38583197278266707,106844.08269347472,1.288074649656299,0.0,1.288074649656299,False,True,4,0,-0.0007324427990167415
2017-10-17,-61.85040918861597,2.084712509916061,106782.2322842861,1.2922806141732779,0.0,1.2922806141732779,False,True,4,0,-0.0005788847414793796
2017-10-18,110.51536059462643,0.37781942287013537,106892.74764488073,1.2939184106889956,0.0,1.2939184106889956,False,True,4,0,0.0010349602010604197
2017-10-19,-238.42330321706015,1.3988748182419581,106654.32434166367,1.280831696678338,0.0,1.280831696678338,False,True,4,0,-0.0022304909216961377
2017-10-20,62.478921194546224,1.276865036111457,106716.80326285822,1.2920179249729837,0.0,1.2920179249729837,False,True,4,0,0.0005858076695923753
2017-10-23,-373.7297288518988,3.2030516576248402,106343.07353400631,1.3171082587976528,0.0,1.3171082587976528,False,True,4,0,-0.003502070127900603
2017-10-24,142.32154851827923,1.7511491906995567,106485.39508252458,1.3006412794965554,0.0,1.3006412794965554,False,True,4,0,0.001338324573370242
